imdb_id,id,title
tt0114709,862,Toy Story
tt0113497,8844,Jumanji
tt0113228,15602,Grumpier Old Men
tt0114885,31357,Waiting to Exhale
tt0113041,11862,Father of the Bride Part II
tt0113277,949,Heat
tt0114319,11860,Sabrina
tt0112302,45325,Tom and Huck
tt0114576,9091,Sudden Death
tt0113189,710,GoldenEye
tt0112346,9087,The American President
tt0112896,12110,Dracula: Dead and Loving It
tt0112453,21032,Balto
tt0113987,10858,Nixon
tt0112760,1408,Cutthroat Island
tt0112641,524,Casino
tt0114388,4584,Sense and Sensibility
tt0113101,5,Four Rooms
tt0112281,9273,Ace Ventura: When Nature Calls
tt0113845,11517,Money Train
tt0113161,8012,Get Shorty
tt0112722,1710,Copycat
tt0112401,9691,Assassins
tt0114168,12665,Powder
tt0113627,451,Leaving Las Vegas
tt0114057,16420,Othello
tt0114011,9263,Now and Then
tt0114117,17015,Persuasion
tt0112682,902,The City of Lost Children
tt0115012,37557,Shanghai Triad
tt0112792,9909,Dangerous Minds
tt0114746,63,Twelve Monkeys
tt0114952,78802,Wings of Courage
tt0112431,9598,Babe
tt0112637,47018,Carrington
tt0112818,687,Dead Man Walking
tt0112286,139405,Across the Sea of Time
tt0113442,33689,It Takes Two
tt0112697,9603,Clueless
tt0112749,34615,"Cry, the Beloved Country"
tt0114279,31174,Richard III
tt0112819,11443,Dead Presidents
tt0114272,35196,Restoration
tt0113855,9312,Mortal Kombat
tt0114681,577,To Die For
tt0113347,11861,How To Make An American Quilt
tt0114369,807,Se7en
tt0114148,10530,Pocahontas
tt0114916,8391,When Night Is Falling
tt0114814,629,The Usual Suspects
tt0109950,117164,Guardian Angel
tt0113819,11448,Mighty Aphrodite
tt0110299,49133,Lamerica
tt0112499,26441,The Big Green
tt0113158,97406,Georgia
tt0113541,124057,Kids of the Round Table
tt0113321,9089,Home for the Holidays
tt0110877,11010,The Postman
tt0112714,99040,The Confessional
tt0113419,11359,The Indian in the Cupboard
tt0116260,17182,Eye for an Eye
tt0113862,2054,Mr. Holland's Opus
tt0116126,10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood
tt0118002,19760,Two If by Sea
tt0115683,9536,Bio-Dome
tt0116839,11525,Lawnmower Man 2: Beyond Cyberspace
tt0114753,40628,Two Bits
tt0113149,4482,French Twist
tt0113118,10634,Friday
tt0116367,755,From Dusk Till Dawn
tt0113010,11859,Fair Game
tt0113537,28387,Kicking and Screaming
tt0113828,48750,Les Miserables
tt0115644,20927,Bed of Roses
tt0115676,36929,Big Bully
tt0114367,9102,Screamers
tt0113973,124626,Nico Icon
tt0112744,27526,The Crossing Guard
tt0116731,9623,The Juror
tt0112445,46785,The White Balloon
tt0114660,400,Things to Do in Denver When You're Dead
tt0112379,880,Antonia's Line
tt0114039,146599,Once Upon a Time... When We Were Colored
tt0113612,188588,Last Summer in the Hamptons
tt0112365,8447,Angels and Insects
tt0118158,10534,White Squall
tt0116151,17414,Dunston Checks In
tt0115697,13997,Black Sheep
tt0113972,2086,Nick of Time
tt0113490,61548,The Journey of August King
tt0117002,9095,Mary Reilly
tt0114825,12158,Vampire in Brooklyn
tt0115639,9283,Beautiful Girls
tt0115759,9208,Broken Arrow
tt0113403,40154,A Midwinter's Tale
tt0113247,406,La Haine
tt0111173,45549,Shopping
tt0113283,63076,Heidi Fleiss: Hollywood Madam
tt0115907,11062,City Hall
tt0115734,13685,Bottle Rocket
tt0117102,47475,Mr. Wrong
tt0118040,2045,Unforgettable
tt0116483,9614,Happy Gilmore
tt0112579,688,The Bridges of Madison County
tt0110251,11907,Nobody Loves Me
tt0117110,10874,Muppet Treasure Island
tt0112646,89333,Catwalk
tt0113276,96357,Headless Body in Topless Bar
tt0112573,197,Braveheart
tt0075314,103,Taxi Driver
tt0113326,33542,Rumble in the Bronx
tt0115645,43566,Before and After
tt0113774,71754,Margaret's Museum
tt0112556,43612,Happiness Is in the Field
tt0112373,51352,Anne Frank Remembered
tt0115033,16934,The Young Poisoner's Handbook
tt0116606,10324,If Lucy Fell
tt0114536,78406,Steal Big Steal Little
tt0117427,55731,Race the Sun
tt0106473,32119,The Boys of St. Vincent
tt0103859,11066,Boomerang
tt0109424,11104,Chungking Express
tt0114808,37975,The Star Maker
tt0116324,2074,Flirting with Disaster
tt0110647,27793,The Neverending Story III: Escape from Fantasia
tt0111055,44284,The Silences of the Palace
tt0110217,290157,Jupiter's Wife
tt0114131,110972,Pie in the Sky
tt0112364,32622,Angela
tt0113107,73067,Frankie Starlight
tt0113451,11863,Jade
tt0114015,55475,Nueba Yol
tt0114500,124636,Sonic Outlaws
tt0116130,9101,Down Periscope
tt0113125,123360,From the Journals of Jean Seberg
tt0113756,5757,Man of the Year
tt0113952,39428,The Neon Bible
tt0114618,124639,Target
tt0118055,9302,Up Close & Personal
tt0115685,11000,The Birdcage
tt0113200,249882,Virgin Mary
tt0112585,16388,The Brothers McMullen
tt0112442,9737,Bad Boys
tt0112342,30765,The Amazing Panda Adventure
tt0112461,10474,The Basketball Diaries
tt0112427,22279,An Awfully Big Adventure
tt0109093,30157,Amateur
tt0112384,568,Apollo 13
tt0114287,11780,Rob Roy
tt0112288,34996,The Addiction
tt0112462,414,Batman Forever
tt0061395,649,Belle de Jour
tt0112495,1873,Beyond Rangoon
tt0112541,5894,Blue in the Face
tt0109370,1775,Canadian Bacon
tt0112642,8839,Casper
tt0112688,20649,Clockers
tt0112715,10329,Congo
tt0112740,8963,Crimson Tide
tt0109508,26564,Crumb
tt0112851,8068,Desperado
tt0112857,8512,Devil in a Blue Dress
tt0112864,1572,Die Hard: With a Vengeance
tt0112887,13552,The Doom Generation
tt0113044,259209,Feast of July
tt0113071,6520,First Knight
tt0113114,9073,Free Willy 2 - The Adventure Home
tt0113243,10428,Hackers
tt0113464,17447,Jeffrey
tt0113481,9886,Johnny Mnemonic
tt0113492,9482,Judge Dredd
tt0113500,19326,Jury Duty
tt0113540,9344,Kids
tt0113677,9071,Living in Oblivion
tt0113690,8973,Lord of Illusions
tt0107447,15730,Love & Human Remains
tt0113729,47608,Mad Love
tt0113749,2293,Mallrats
tt0113820,9070,Mighty Morphin Power Rangers: The Movie
tt0113851,68274,Moonlight and Valentino
tt0110604,48787,Mute Witness
tt0110620,34574,Nadja
tt0113957,1642,The Net
tt0113986,11472,Nine Months
tt0114095,36196,Party Girl
tt0114194,11980,The Prophecy
tt0114241,58372,Reckless
tt0114323,32646,Safe
tt0114345,10533,The Scarlet Letter
tt0114435,56088,The Show
tt0114436,10802,Showgirls
tt0114478,10149,Smoke
tt0114496,18402,Something to Talk About
tt0114508,9348,Species
tt0114534,139408,The Stars Fell on Henrietta
tt0114558,281,Strange Days
tt0058450,5967,The Umbrellas of Cherbourg
tt0114666,79593,The Tie That Binds
tt0114663,47939,Three Wishes
tt0114702,36834,Total Eclipse
tt0114682,9090,"To Wong Foo, Thanks for Everything! Julie Newmar"
tt0114781,3512,Under Siege 2: Dark Territory
tt0114798,52856,Unstrung Heroes
tt0114805,77350,Unzipped
tt0114887,9560,A Walk in the Clouds
tt0114898,9804,Waterworld
tt0114928,31611,White Man's Burden
